;;;;;;;;;;;;;;;;;;;;;;;;;;;
İBB ÖĞRENCİ YURTLARI MART AYI AKŞAM YEMEĞİ MENÜSÜ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Pazar, Mart 01, 2026;;;
;;;;;;;;;;;;;;;;;;;;;;;;MENÜ;KAL;SALATBAR;KAL
;;;;;;;;;;;;;;;;;;;;;;;;DOMATES ÇORBASI (1,4);137;KIRMIZI LAHANA(12);24
;;;;;;;;;;;;;;;;;;;;;;;;PİDELİ KÖFTE IZGARA (1,3,4);337;SUMAKLI SOĞAN;19
;;;;;;;;;;;;;;;;;;;;;;;;KARIŞIK SEBZE BUKETİ (1,3,4,8);209;MISIRLI YEŞİL ZEYTİN SALATASI;25
;;;;;;;;;;;;;;;;;;;;;;;;MEYVE (ELMA);92;SALATALIK TURŞUSU (12);5
;;;;;;;;;;;;;;;;;;;;;;;;ŞEKERPARE (1,3,7,8,11);326;PİYAZ (1,3,8,14);54
;;;;;;;;;;;;;;;;;;;;;;;;SOĞUK ÇAY;99;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358
;;;;;;;;;;;;;;;;;;;;;;;;TOPLAM;1200;TOPLAM;485
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pazartesi, Mart 02, 2026;;;;Salı, Mart 03, 2026;;;;Çarşamba, Mart 04, 2026;;;;Perşembe, Mart 05, 2026;;;;Cuma, Mart 06, 2026;;;;Cumartesi, Mart 07, 2026;;;;Pazar, Mart 08, 2026;;;
MENÜ;KAL;SALATBAR;KAL;MENÜ;KAL;SALATBAR;KAL;MENÜ;KAL;SALATBAR;KAL;MENÜ;KAL;SALATBAR;KAL;MENÜ;KAL;SALATBAR;KAL;MENÜ;KAL;SALATBAR;KAL;MENÜ;KAL;SALATBAR;KAL
 MENGEN ÇORBASI (1,3,4,8);141;KÖZ SOGAN SALATASI;21;DÜĞÜN ÇORBA (1,3,4,8);119;Z.YAĞLI PIRASA (1);31;MERCİMEK ÇORBASI (1,8);137;DEREOTLU MISIRLI YEŞİL ZEYTİN SALATASI;29;ARPA ŞEHRİYE ÇORBASI (1);181;YOĞURT (4);39;EZOGELİN ÇORBA (1,8);125;HAVUÇ TARATOR (3,4);75;MISIR ÇORBASI (1,4);95;YOĞURTLU BİBER BORANİ (4);42;KROTONLU ÇORBA (1,3,4);143;HUMUS (1,8,14);68
 IZGARA TAVUK GÖĞÜS / RENKLİ BİBERLİ MANTAR KAVURMA (1,2,3,4,7,11,13);252;HUMUS (1,8,14);68;SEBZELİ KARNABAHAR YEMEĞİ (1,3,4,12);97;KARIŞIK TURŞU (12);12;PATATES PÜRESİ YATAĞINDA ET SOTE ;298;Z.YAĞLI ENGİNAR (1,7,8,10,11);41;ETLİ TAZE FASULYE (8);112;ÇOBAN SALATASI;32;TAS KEBAP (1,8);242;KÖZ SOGAN SALATASI;21;ARPACIK SOĞANLI TAVUK YAHNİ (1,3,4,8);328;MERCİMEK KÖFTE (1,8,12);97;HÜNKAR BEĞENDİ (1,3,4,7,11);284;ÇOBAN SALATASI;32
FESLEĞEN SOSLU MAKARNA (1,3,4);227;SÖĞÜŞ DİLİM DOMATES;11;CEVİZLİ ERİŞTE KAVURMA (1,3,4,11);244;PEMBE SULTAN (4,12);72;SADE PİRİNÇ PİLAVI (1);256;CEVİZLİ KAŞIK SALATA (7,11);54;SEBZELİ BULGUR PİLAVI (1);163;KARIŞIK SALATA (KIRMIZI LAHANA - TURP) (12);32;TEL ŞEHRİYELİ PİRİNÇ PİLAVI (1);258;MAYDANOZLU KÖZLENMİŞ PATLICAN SALATASI (12);7;NAPOLİTEN SOSLU SPAGETTİ (1);221;KIRMIZI LAHANA(12);24; İÇ PİLAV (1,7,8,11,12);284;HAYDARİ (4);41
AMERİKAN SALATASI (1,3,4,8,12);125;MAYDANOZLU KÖZLENMİŞ PATLICAN SALATASI (12);7;MEYVE (MUZ);178;EZME (1,3,4,6,7,11,12,14);47;Z.YAĞLI TAZE FASULYE (1,8);73;HAYDARİ (4);41;MEYVE (PORTAKAL);101;ÇITIR KABAK (1,3,4);65;MEKSİKA USULÜ SALATA (1,3,4,8,14);89;SÖĞÜŞ DİLİM DOMATES;11;KAŞIK SALATA;69;Z.YAĞLI BARBUNYA (1,8);98;MEYVE (MUZ);178;KARIŞIK SALATA (KIRMIZI LAHANA - HAVUÇ) (12);36
SÜTLÜ TATLI (PUDİNG) (1,3,4);154;BİBER KIZARTMASI;23;TULUMBA TATLISI (1,3,4);406;KISIR (1,8,12);74;ANTEP FISTIKLI SARI BURMA (1,3,4,7,8,11);346;PANCAR TURŞUSU (12);8;SÜTLÜ TATLI (PROFİTEROL) (1,3,4);261;PATATES SALATASI (1,12);75;FINDIKLI KEMALPAŞA TATLISI / KAYMAK (1,3,4,7,11,12,14);287;ÇITIR KARNABAHAR (1,3,4);59;GÜLLAÇ (1,3,4,7,8,11);250;ŞAKŞUKA;76;HAVUÇ DİLİM BAKLAVA  (1,3,4,7,8,11);470;DOM. SOSLU PATATES KIZARTMASI (1);87
GAZLI İÇECEK;157;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358;LİMONATA;73;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358;GAZLI İÇECEK;157;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358;ŞERBET;150;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358;GAZLI İÇECEK;110;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358;SOĞUK ÇAY;99;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358;GAZLI İÇECEK;110;"İFTARİYELİK
ZEYTİN, PEYNİR, HURMA, 
RAMAZAN PİDESİ (1,3,4,14)";358
TOPLAM;1056;TOPLAM;488;TOPLAM;1117;TOPLAM;594;TOPLAM;1267;TOPLAM;531;TOPLAM;968;TOPLAM;601;TOPLAM;1111;TOPLAM;531;TOPLAM;1062;TOPLAM;695;TOPLAM;1469;TOPLAM;622
